time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.004295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.104912,12.629000,0.000000,-0.000000,0.000000,0.000000,0.000622,0.000564,0.000038,0.007109,0.006449,0.002182
0.205812,12.620000,0.000000,-0.000000,0.000000,0.000000,0.001530,0.001388,0.000042,0.007109,0.006449,0.002182
0.306925,12.594000,0.000000,-0.000000,0.000000,0.000000,0.002202,0.001997,0.000111,0.007109,0.006449,0.002182
0.443909,12.598000,0.000000,-0.000000,0.000000,0.000000,0.003312,0.003004,0.000171,0.007109,0.006449,0.002182
0.545048,12.594000,0.000000,-0.000000,0.000000,0.000000,0.003862,0.003503,0.000053,0.007109,0.006449,0.002182
0.654348,12.598000,0.000000,-0.000000,0.000000,0.000000,0.004596,0.004169,0.000121,0.007109,0.006449,0.002182
0.762740,12.611000,0.000000,-0.000000,0.000000,0.000000,0.005589,0.005070,0.000059,0.007109,0.006449,0.002182
0.864261,12.624000,0.000000,-0.000000,0.000000,0.000000,0.006343,0.005755,0.000124,0.007109,0.006449,0.002182
0.965112,12.620000,0.000000,-0.000000,0.000000,0.000000,0.007007,0.006357,0.000043,0.007109,0.006449,0.002182
1.066182,12.624000,0.000000,-0.000000,0.000000,0.000000,0.007698,0.006983,0.000118,0.007109,0.006449,0.002182
1.167132,12.624000,0.000000,-0.000000,0.000000,0.000000,0.008380,0.007602,0.000046,0.007109,0.006449,0.002182
1.269157,12.581000,0.000000,-0.000000,0.000000,0.000000,0.009149,0.008300,0.000211,0.007109,0.006449,0.002182
1.369867,12.603000,0.000000,-0.000000,0.000000,0.000000,0.009805,0.008895,0.000039,0.007109,0.006449,0.002182
1.477752,12.603000,0.000000,-0.000000,0.000000,0.000000,0.010505,0.009530,0.000116,0.007109,0.006449,0.002182
1.581554,12.126000,0.417164,0.000000,0.000000,0.417164,0.094863,0.003269,0.000113,2.342727,-0.231576,0.002182
1.683044,11.877000,0.603941,-0.006139,-0.006139,0.603941,0.607460,-0.084378,-0.016082,7.132974,-1.109292,0.002182
1.786001,11.995000,0.610080,0.000000,0.000000,0.610080,1.528969,-0.392083,-0.036556,11.209148,-3.801947,0.002182
1.886766,12.017000,0.610080,0.000000,0.000000,0.610080,2.851906,-0.956108,-0.079226,15.463840,-5.557379,0.002182
1.987474,12.056000,0.610080,0.000000,0.000000,0.610080,4.704854,-1.882404,-0.122230,19.272236,-7.833491,0.002182
2.088680,12.109000,0.616277,-0.006197,-0.006197,0.616277,6.611098,-2.884054,-0.130690,21.340076,-8.250034,0.002182
2.189615,12.148000,0.622473,0.000000,0.000000,0.622473,8.394204,-4.087616,-0.124113,20.328470,-10.912936,0.002182
2.290883,12.166000,0.622473,0.000000,0.000000,0.622473,10.612278,-5.521691,-0.110808,22.961619,-11.656763,0.002182
2.391809,12.122000,0.622473,0.000000,0.000000,0.622473,12.730682,-6.728790,-0.107161,22.158286,-9.246762,0.002182
2.493383,12.148000,0.622473,0.000000,0.000000,0.622473,14.790953,-7.826710,-0.100063,24.374891,-9.871577,0.002182
2.614779,12.166000,0.622473,0.000000,0.000000,0.622473,18.004846,-9.281210,-0.092077,25.490632,-8.785590,0.002182
2.715630,12.170000,0.622473,0.000000,0.000000,0.622473,20.220610,-10.219376,-0.086447,25.074089,-7.669849,0.002182
2.816736,12.205000,0.622473,0.000000,0.000000,0.622473,22.872295,-11.224800,-0.080175,26.561743,-7.729355,0.002182
2.917904,12.201000,0.622473,0.000000,0.000000,0.622473,25.628121,-12.160710,-0.079778,26.234459,-5.170589,0.002182
3.018771,12.192000,0.622473,0.000000,0.000000,0.622473,28.446035,-13.141411,-0.075079,29.031250,-8.205404,0.002182
3.119791,12.187000,0.622473,0.000000,0.000000,0.622473,31.260128,-14.047402,-0.069087,27.826249,-5.200342,0.002182
3.220662,12.218000,0.622473,0.000000,0.000000,0.622473,33.868236,-14.825243,-0.068396,28.004768,-5.334231,0.002182
3.322217,12.192000,0.622473,0.000000,0.000000,0.622473,36.738569,-15.696205,-0.063182,27.617978,-6.390466,0.002182
3.423050,12.183000,0.622473,0.000000,0.000000,0.622473,39.251426,-16.341246,-0.058925,29.120509,-6.985528,0.002182
3.523865,12.192000,0.622473,0.000000,0.000000,0.622473,42.542231,-17.333034,-0.056796,29.135385,-7.610342,0.002182
3.635021,12.201000,0.622473,0.000000,0.000000,0.622473,45.525272,-18.054064,-0.054343,30.132114,-5.215219,0.002182
3.736245,12.192000,0.622473,0.000000,0.000000,0.622473,48.731891,-18.847765,-0.053204,29.923842,-5.780527,0.002182
3.836973,12.183000,0.622473,0.000000,0.000000,0.622473,51.693993,-19.636402,-0.047479,30.176744,-5.244972,0.002182
3.937662,12.568000,0.058533,0.012479,0.012479,0.058533,54.499485,-20.242484,-0.042941,30.072608,-5.869787,0.002182
4.045150,12.589000,0.000000,-0.000000,0.000000,0.000000,56.979084,-20.761184,-0.030058,26.026187,-3.965589,0.002182
4.146260,12.594000,0.000000,-0.000000,0.000000,0.000000,59.560748,-21.160250,-0.009383,21.652483,-2.507687,0.002182
4.252872,12.594000,0.000000,-0.000000,0.000000,0.000000,61.396264,-21.267059,0.001107,17.412667,-0.573736,0.002182
4.356582,12.594000,0.000000,-0.000000,0.000000,0.000000,62.996308,-21.273843,0.014159,12.845568,0.006449,0.002182
4.458043,12.576000,0.000000,-0.000000,0.000000,0.000000,64.106132,-21.255707,0.016526,8.843777,0.006449,0.002182
4.559568,12.581000,0.000000,-0.000000,0.000000,0.000000,64.796597,-21.234438,0.019663,4.812233,0.051079,0.002182
4.660446,12.576000,0.000000,-0.000000,0.000000,0.000000,64.970134,-21.232917,0.020976,0.408776,0.006449,0.002182
4.766998,12.581000,0.000000,-0.000000,0.000000,0.000000,64.883825,-21.232468,0.019713,-1.093755,0.006449,0.002182
4.872199,12.598000,0.000000,-0.000000,0.000000,0.000000,64.838276,-21.229456,0.019432,-0.007768,0.006449,0.002182
4.981378,12.603000,0.000000,-0.000000,0.000000,0.000000,64.838993,-21.228779,0.019524,0.007109,0.006449,0.002182
5.082890,12.598000,-0.363705,-0.221981,-0.221981,-0.363705,64.839297,-21.228493,0.019379,0.007109,0.006449,0.002182
5.184635,11.960000,-0.607185,-0.331778,-0.331778,-0.607185,64.748706,-21.231416,0.019512,-2.477274,-0.053057,0.002182
5.285603,11.759000,-0.620278,-0.318685,-0.318685,-0.620278,64.305048,-21.266780,0.029739,-8.799806,-0.157193,0.002182
5.386776,11.925000,-0.620278,-0.318685,-0.318685,-0.620278,61.788145,-21.282578,0.052480,-19.957215,1.360215,0.002182
5.489294,12.021000,-0.620278,-0.318685,-0.318685,-0.620278,59.257510,-21.051942,0.048780,-24.643327,4.112376,0.002182
5.590216,12.104000,-0.633918,-0.305045,-0.305045,-0.633918,57.324142,-20.813614,0.044594,-27.350858,4.528919,0.002182
5.691076,12.078000,-0.652949,-0.286014,-0.286014,-0.652949,53.467679,-20.382094,0.039090,-29.359192,4.885956,0.002182
