time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.103352,12.642000,0.000000,-0.000000,0.000000,0.000000,0.000952,0.000864,0.000213,0.007109,0.006449,0.002182
0.211222,12.646000,0.000000,-0.000000,0.000000,0.000000,0.001798,0.001632,0.000133,0.007109,0.006449,0.002182
0.314137,12.620000,0.000000,-0.000000,0.000000,0.000000,0.002469,0.002240,0.000063,0.007109,0.006449,0.002182
0.415030,12.624000,0.000000,-0.000000,0.000000,0.000000,0.003565,0.002829,0.000131,0.021986,0.006449,0.002182
0.516211,12.624000,0.000000,-0.000000,0.000000,0.000000,0.004690,0.003443,0.000066,0.007109,0.006449,0.002182
0.617192,12.620000,0.000000,-0.000000,0.000000,0.000000,0.005595,0.004263,0.000142,0.007109,0.006449,0.002182
0.718033,12.624000,0.000000,-0.000000,0.000000,0.000000,0.006282,0.004887,0.000130,0.007109,0.006449,0.002182
0.821786,12.642000,0.000000,-0.000000,0.000000,0.000000,0.006965,0.005506,0.000065,0.007109,0.006449,0.002182
0.938384,12.642000,0.000000,-0.000000,0.000000,0.000000,0.007864,0.007331,0.000076,0.007109,0.021325,0.002182
1.045068,12.642000,0.000000,-0.000000,0.000000,0.000000,0.008653,0.008046,0.000087,0.007109,0.006449,0.002182
1.146017,12.646000,0.000000,-0.000000,0.000000,0.000000,0.009332,0.008662,0.000145,0.007109,0.006449,0.002182
1.246954,12.629000,0.000000,-0.000000,0.000000,0.000000,0.010074,0.009335,0.000069,0.007109,0.006449,0.002182
1.357545,12.624000,0.000000,-0.000000,0.000000,0.000000,0.010843,0.010033,0.000156,0.007109,0.006449,0.002182
1.459545,12.620000,0.000000,-0.000000,0.000000,0.000000,0.011569,0.010692,0.000072,0.007109,0.006449,0.002182
1.569540,12.624000,0.000000,-0.000000,0.000000,0.000000,0.012325,0.011378,0.000153,0.007109,0.006449,0.002182
1.670575,12.620000,0.000000,-0.000000,0.000000,0.000000,0.012749,0.011762,0.000128,0.007109,0.006449,0.002182
1.771934,12.616000,0.000000,-0.000000,0.000000,0.000000,0.013668,0.012596,0.000137,0.007109,0.006449,0.002182
1.873139,12.646000,0.000000,-0.000000,0.000000,0.000000,0.014366,0.013229,0.000070,0.007109,0.006449,0.002182
1.974016,12.646000,0.000000,-0.000000,0.000000,0.000000,0.015049,0.013849,0.000138,0.007109,0.006449,0.002182
2.082253,12.646000,0.000000,-0.000000,0.000000,0.000000,0.016000,0.014712,0.000151,0.007109,0.006449,0.002182
2.183046,12.646000,0.000000,-0.000000,0.000000,0.000000,0.016683,0.015331,0.000073,0.007109,0.006449,0.002182
2.285589,12.638000,0.000000,-0.000000,0.000000,0.000000,0.017365,0.015950,0.000208,0.007109,0.006449,0.002182
2.386322,12.624000,0.000000,-0.000000,0.000000,0.000000,0.018100,0.016616,0.000135,0.007109,0.006449,0.002182
2.487152,12.624000,0.000000,-0.000000,0.000000,0.000000,0.018765,0.017220,0.000134,0.007109,0.006449,0.002182
2.588569,12.104000,0.305040,-0.305040,0.305040,-0.305040,0.063244,0.033002,0.000118,1.301369,0.452745,0.002182
2.693636,11.965000,0.500000,-0.500000,0.500000,-0.500000,0.573940,0.347279,-0.151250,6.716431,4.930586,0.002182
2.794754,12.148000,0.500000,-0.500000,0.500000,-0.500000,1.725266,0.894651,-0.290756,9.885135,10.122500,0.002182
2.912108,12.192000,0.500000,-0.500000,0.500000,-0.500000,3.173282,1.129295,-0.649200,11.030629,7.965401,0.002182
3.013846,12.205000,0.500000,-0.500000,0.500000,-0.500000,4.495919,1.145229,-0.848585,9.795876,9.988611,0.002182
3.114579,12.218000,0.500000,-0.500000,0.500000,-0.500000,5.681050,0.718060,-1.196891,9.498345,10.241512,0.002182
3.216023,12.218000,0.500000,-0.500000,0.500000,-0.500000,6.829436,0.026624,-1.548420,9.632234,7.801759,0.002182
3.316879,12.201000,0.500000,-0.500000,0.500000,-0.500000,7.827633,-1.215978,-1.753894,8.769394,9.601821,0.002182
3.417587,12.170000,0.500000,-0.500000,0.500000,-0.500000,8.193941,-2.432498,-2.188779,9.914888,9.497685,0.002182
3.518682,12.166000,0.500000,-0.500000,0.500000,-0.500000,8.308995,-3.685380,-2.361426,10.792605,8.173673,0.002182
3.619765,12.183000,0.500000,-0.500000,0.500000,-0.500000,8.025093,-4.997029,-2.565017,9.349580,10.018364,0.002182
3.720591,12.201000,0.500000,-0.500000,0.500000,-0.500000,7.196616,-6.217473,-2.918642,10.286802,7.563734,0.002182
3.821386,12.170000,0.500000,-0.500000,0.500000,-0.500000,6.159234,-7.193998,-3.270756,10.926494,10.018364,0.002182
3.922163,12.192000,0.500000,-0.500000,0.500000,-0.500000,5.071083,-7.715730,-3.446427,9.602481,8.486080,0.002182
4.023145,12.227000,0.500000,-0.500000,0.500000,-0.500000,3.634946,-7.936602,-3.854168,10.152913,8.977006,0.002182
4.124127,12.214000,0.500000,-0.500000,0.500000,-0.500000,2.289793,-7.723822,-4.029581,11.848839,9.810093,0.002182
4.225163,12.196000,0.500000,-0.500000,0.500000,-0.500000,0.969590,-7.012189,-4.409972,10.108284,7.920771,0.002182
4.333135,12.218000,0.500000,-0.500000,0.500000,-0.500000,-0.136358,-5.968393,-4.790656,9.974395,9.646451,0.002182
4.434109,12.166000,0.500000,-0.500000,0.500000,-0.500000,-0.795931,-4.818324,-4.967129,10.926494,10.494414,0.002182
4.545421,12.152000,0.500000,-0.500000,0.500000,-0.500000,-1.146423,-3.087155,-5.315563,11.640568,7.995154,0.002182
4.646636,12.187000,0.500000,-0.500000,0.500000,-0.500000,-1.093590,-1.794616,-5.660894,9.245444,9.780339,0.002182
4.748068,12.166000,0.500000,-0.500000,0.500000,-0.500000,-0.392507,-0.451456,-6.014042,10.688469,10.405154,0.002182
4.849085,12.174000,0.500000,-0.500000,0.500000,-0.500000,0.602214,0.693706,-6.190446,10.614086,8.352191,0.002182
4.964848,12.192000,0.500000,-0.500000,0.500000,-0.500000,1.910034,1.543854,-6.599790,10.197543,10.077870,0.002182
5.068670,12.192000,0.500000,-0.500000,0.500000,-0.500000,3.350644,1.774059,-6.945225,10.182666,9.810093,0.002182
5.169521,12.187000,0.500000,-0.500000,0.500000,-0.500000,4.723236,1.699887,-7.121175,10.301679,8.932376,0.002182
5.270448,12.209000,0.500000,-0.500000,0.500000,-0.500000,6.007120,1.288657,-7.503309,10.063654,10.791945,0.002182
5.371286,12.205000,0.500000,-0.500000,0.500000,-0.500000,7.033905,0.569672,-7.679853,9.364456,8.352191,0.002182
5.472097,12.144000,0.500000,-0.500000,0.500000,-0.500000,7.920352,-0.457275,-8.059265,10.331432,9.289413,0.002182
5.573394,12.161000,0.500000,-0.500000,0.500000,-0.500000,8.381042,-1.555228,-8.233422,9.676864,9.215031,0.002182
5.685588,12.148000,0.500000,-0.500000,0.500000,-0.500000,8.537914,-3.278164,-8.611640,9.542975,8.099290,0.002182
5.786593,12.183000,0.500000,-0.500000,0.500000,-0.500000,8.210079,-4.638516,-8.963022,10.316555,9.854722,0.002182
5.888110,12.166000,0.500000,-0.500000,0.500000,-0.500000,7.467267,-5.830138,-9.140249,11.030629,7.876142,0.002182
5.989210,12.183000,0.500000,-0.500000,0.500000,-0.500000,6.336977,-6.829749,-9.521258,9.974395,8.381944,0.002182
6.090163,12.179000,0.500000,-0.500000,0.500000,-0.500000,5.015510,-7.347330,-9.872590,9.974395,10.330772,0.002182
6.192891,12.209000,0.500000,-0.500000,0.500000,-0.500000,3.597797,-7.526122,-10.076533,10.227296,8.158796,0.002182
6.304119,12.183000,0.000000,-0.000000,0.000000,0.000000,2.023550,-7.225792,-10.459256,10.733098,9.200154,0.002182
6.405233,12.589000,0.000000,-0.000000,0.000000,0.000000,0.969304,-6.556291,-10.815467,8.114826,9.125771,0.002182
6.508866,12.585000,0.000000,-0.000000,0.000000,0.000000,0.374827,-6.047785,-10.907706,5.094888,3.844598,0.002182
6.609585,12.585000,0.000000,-0.000000,0.000000,0.000000,0.259323,-5.869421,-10.954273,0.780689,0.229597,0.002182
6.714337,12.585000,0.000000,-0.000000,0.000000,0.000000,0.276598,-5.852847,-10.950756,-0.007768,0.006449,0.002182
6.815150,12.585000,0.000000,-0.000000,0.000000,0.000000,0.276178,-5.857158,-10.950563,0.007109,0.006449,0.002182
6.916088,12.589000,0.000000,-0.000000,0.000000,0.000000,0.275485,-5.856460,-10.950562,0.007109,0.006449,0.002182
7.019504,12.611000,0.000000,-0.000000,0.000000,0.000000,0.274795,-5.855765,-10.950563,0.007109,0.006449,0.002182
7.120516,12.611000,0.000000,-0.000000,0.000000,0.000000,0.274199,-5.855165,-10.950577,0.007109,0.006449,0.002182
7.221362,12.616000,0.000000,-0.000000,0.000000,0.000000,0.273368,-5.854327,-10.950587,0.007109,0.006449,0.002182
7.323547,12.611000,0.000000,-0.000000,0.000000,0.000000,0.272759,-5.853713,-10.950566,0.007109,0.006449,0.002182
7.424161,12.607000,0.000000,-0.000000,0.000000,0.000000,0.272104,-5.853053,-10.950511,0.007109,0.006449,0.002182
7.525431,12.388000,-0.188375,0.188375,-0.188375,0.188375,0.271468,-5.852413,-10.950518,0.007109,0.006449,0.002182
7.626202,11.611000,-0.500000,0.500000,-0.500000,0.500000,0.384645,-6.002358,-10.933005,-2.373138,-1.793613,0.002182
7.727088,11.969000,-0.500000,0.500000,-0.500000,0.500000,0.955997,-6.588878,-10.816967,-8.398139,-6.807009,0.002182
7.828182,12.109000,-0.500000,0.500000,-0.500000,0.500000,1.946205,-7.329133,-10.690796,-12.072646,-7.937626,0.002182
7.929836,12.152000,-0.500000,0.500000,-0.500000,0.500000,3.191280,-7.673502,-10.334347,-9.647769,-10.317874,0.002182
8.030646,12.183000,-0.500000,0.500000,-0.500000,0.500000,4.554520,-7.675280,-9.988464,-9.201473,-8.473182,0.002182
8.133994,12.174000,-0.500000,0.500000,-0.500000,0.500000,5.721775,-7.315579,-9.783888,-10.406473,-9.559170,0.002182
8.234537,12.192000,-0.500000,0.500000,-0.500000,0.500000,7.133735,-6.332896,-9.431356,-9.320485,-10.511269,0.002182
8.335327,12.192000,-0.500000,0.500000,-0.500000,0.500000,8.013782,-5.364202,-9.226945,-10.153572,-7.833491,0.002182
8.442243,12.196000,-0.500000,0.500000,-0.500000,0.500000,8.581667,-3.773888,-8.874117,-10.867646,-9.826948,0.002182
