time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.103438,12.707000,0.000000,-0.000000,0.000000,0.000000,0.000856,0.000777,0.000140,0.007109,0.006449,0.002182
0.204233,12.712000,0.000000,-0.000000,0.000000,0.000000,0.001509,0.001369,0.000067,0.007109,0.006449,0.002182
0.309697,12.707000,0.000000,-0.000000,0.000000,0.000000,0.002462,0.002234,0.000074,0.007109,0.006449,0.002182
0.411013,12.716000,0.000000,-0.000000,0.000000,0.000000,0.003109,0.002820,0.000138,0.007109,0.006449,0.002182
0.512306,12.725000,0.000000,-0.000000,0.000000,0.000000,0.003795,0.003442,0.000077,0.007109,0.006449,0.002182
0.613465,12.734000,0.000000,-0.000000,0.000000,0.000000,0.004500,0.004082,0.000150,0.007109,0.006449,0.002182
0.715115,12.738000,0.000000,-0.000000,0.000000,0.000000,0.005335,0.004840,0.000180,0.007109,0.006449,0.002182
0.816052,12.734000,0.000000,-0.000000,0.000000,0.000000,0.005977,0.005422,0.000068,0.007109,0.006449,0.002182
0.917024,12.734000,0.000000,-0.000000,0.000000,0.000000,0.006623,0.006009,0.000137,0.007109,0.006449,0.002182
1.018920,12.712000,0.000000,-0.000000,0.000000,0.000000,0.007490,0.006795,0.000137,0.007109,0.006449,0.002182
1.119856,12.703000,0.000000,-0.000000,0.000000,0.000000,0.007907,0.007174,0.000131,0.007109,0.006449,0.002182
1.220881,12.712000,0.000000,-0.000000,0.000000,0.000000,0.008793,0.007977,0.000135,0.007109,0.006449,0.002182
1.325144,12.707000,0.000000,-0.000000,0.000000,0.000000,0.009651,0.008755,0.000135,0.007109,0.006449,0.002182
1.426509,12.707000,0.000000,-0.000000,0.000000,0.000000,0.010371,0.009409,0.000078,0.007109,0.006449,0.002182
1.527924,12.729000,0.000000,-0.000000,0.000000,0.000000,0.010889,0.009879,0.000162,0.007109,0.006449,0.002182
1.640800,12.729000,0.000000,-0.000000,0.000000,0.000000,0.011899,0.010795,0.000075,0.007109,0.006449,0.002182
1.745754,12.734000,0.000000,-0.000000,0.000000,0.000000,0.012410,0.011258,0.000057,0.007109,0.006449,0.002182
1.856846,12.734000,0.000000,-0.000000,0.000000,0.000000,0.013422,0.012176,0.000075,0.007109,0.006449,0.002182
1.957693,12.734000,0.000000,-0.000000,0.000000,0.000000,0.014115,0.012805,0.000144,0.007109,0.006449,0.002182
2.058697,12.712000,0.000000,-0.000000,0.000000,0.000000,0.014888,0.013507,0.000147,0.007109,0.006449,0.002182
