time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.103688,12.598000,0.000000,-0.000000,0.000000,0.000000,0.000948,0.000860,0.000158,0.007109,0.006449,0.002182
0.204558,12.598000,0.000000,-0.000000,0.000000,0.000000,0.001624,0.001474,0.000085,0.007109,0.006449,0.002182
0.305385,12.620000,0.000000,-0.000000,0.000000,0.000000,0.002302,0.002088,0.000154,0.007109,0.006449,0.002182
0.410846,12.620000,0.000000,-0.000000,0.000000,0.000000,0.003159,0.002866,0.000145,0.007109,0.006449,0.002182
0.512023,12.616000,0.000000,-0.000000,0.000000,0.000000,0.003896,0.003534,0.000084,0.007109,0.006449,0.002182
0.612966,12.616000,0.000000,-0.000000,0.000000,0.000000,0.004544,0.004123,0.000151,0.007109,0.006449,0.002182
0.714438,12.620000,0.000000,-0.000000,0.000000,0.000000,0.005226,0.004742,0.000082,0.007109,0.006449,0.002182
0.815993,12.594000,0.000000,-0.000000,0.000000,0.000000,0.006034,0.005475,0.000096,0.007109,0.006449,0.002182
0.916769,12.594000,0.000000,-0.000000,0.000000,0.000000,0.006730,0.006106,0.000152,0.007109,0.006449,0.002182
1.017749,12.594000,0.000000,-0.000000,0.000000,0.000000,0.007421,0.006732,0.000084,0.007109,0.006449,0.002182
1.119208,12.594000,0.000000,-0.000000,0.000000,0.000000,0.007866,0.007136,0.000084,0.007109,0.006449,0.002182
1.220829,12.616000,0.000000,-0.000000,0.000000,0.000000,0.008899,0.008073,0.000094,0.007109,0.006449,0.002182
1.322081,12.620000,0.000000,-0.000000,0.000000,0.000000,0.009596,0.008706,0.000230,0.007109,0.006449,0.002182
1.423028,12.620000,0.000000,-0.000000,0.000000,0.000000,0.010301,0.009346,0.000090,0.007109,0.006449,0.002182
1.524122,12.620000,0.000000,-0.000000,0.000000,0.000000,0.010997,0.009977,0.000161,0.007109,0.006449,0.002182
1.625591,12.620000,0.000000,-0.000000,0.000000,0.000000,0.011756,0.010665,0.000164,0.007109,0.006449,0.002182
1.726620,12.603000,0.000000,-0.000000,0.000000,0.000000,0.012510,0.011350,0.000248,0.007109,0.006449,0.002182
1.828106,12.598000,0.000000,-0.000000,0.000000,0.000000,0.013248,0.012019,0.000160,0.007109,0.006449,0.002182
1.929177,12.589000,0.000051,0.000051,0.000051,0.000051,0.013935,0.012643,0.000082,0.007109,0.006449,0.002182
2.030313,12.585000,0.017730,0.017730,0.017730,0.017730,0.014704,0.013340,0.000177,0.007109,0.006449,0.002182
2.131703,12.581000,0.023027,0.023027,0.023027,0.023027,0.015246,0.013832,0.000105,0.007109,0.006449,0.002182
2.233706,12.572000,0.033254,0.033254,0.033254,0.033254,0.017491,0.014652,0.000132,0.021986,0.006449,0.002182
2.334461,12.581000,0.064691,0.064691,0.064691,0.064691,0.023639,0.015354,0.000154,0.051739,0.006449,0.002182
2.437508,12.568000,0.080571,0.080571,0.080571,0.080571,0.030511,0.015752,0.000151,0.126121,0.006449,0.002182
2.538368,12.555000,0.098046,0.098046,0.098046,0.098046,0.062548,0.016659,0.000155,0.304640,0.006449,0.002182
2.639290,12.506000,0.125145,0.125145,0.125145,0.125145,0.099192,0.017079,0.000322,0.765813,0.006449,0.002182
2.757879,12.493000,0.169086,0.169086,0.169086,0.169086,0.235879,0.016298,0.001393,1.539393,-0.008428,0.002182
2.859305,12.428000,0.173813,0.173813,0.173813,0.173813,0.552313,0.021803,0.001154,2.759270,0.110585,0.002182
2.960638,12.437000,0.178601,0.178601,0.178601,0.178601,0.810166,0.025704,-0.000369,3.994023,0.080832,0.002182
3.070859,12.437000,0.178601,0.178601,0.178601,0.178601,1.578093,0.027794,-0.001953,6.210629,0.006449,0.002182
3.171943,12.467000,0.183448,0.183448,0.183448,0.183448,2.108563,0.026844,-0.003192,6.880073,0.006449,0.002182
3.280561,12.467000,0.183448,0.183448,0.183448,0.183448,2.884037,0.032423,-0.004048,7.817296,0.065955,0.002182
3.387499,12.498000,0.183448,0.183448,0.183448,0.183448,3.793768,0.029963,-0.005302,7.980938,0.036202,0.002182
3.489644,12.493000,0.183448,0.183448,0.183448,0.183448,4.545750,0.037614,-0.007330,8.218962,0.021325,0.002182
3.591846,12.511000,0.193791,0.173106,0.193791,0.173106,5.601680,0.050617,-0.006972,8.263592,0.229597,0.002182
3.694274,12.480000,0.214519,0.152378,0.214519,0.152378,6.464241,0.087444,-0.012291,8.575999,0.631264,0.002182
3.797184,12.476000,0.195121,0.171775,0.195121,0.171775,7.299030,0.108238,-0.025618,9.215691,0.408116,0.002182
3.897859,12.471000,0.192535,0.174362,0.192535,0.174362,8.196118,0.129881,-0.029344,8.709888,0.363486,0.002182
4.010158,12.467000,0.192535,0.174362,0.192535,0.174362,9.331194,0.146208,-0.036066,8.992543,0.051079,0.002182
4.111255,12.480000,0.192535,0.174362,0.192535,0.174362,10.177259,0.164663,-0.040371,9.022296,0.631264,0.002182
4.212186,12.476000,0.192535,0.174362,0.192535,0.174362,11.119797,0.181238,-0.042188,9.215691,0.616387,0.002182
4.313370,12.471000,0.192535,0.174362,0.192535,0.174362,12.106060,0.173272,-0.047383,9.528098,0.303980,0.002182
4.417367,12.498000,0.197442,0.179270,0.197442,0.179270,12.479360,0.164100,-0.050620,9.349580,0.244474,0.002182
