time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.103765,12.707000,0.000000,-0.000000,0.000000,0.000000,0.000921,0.000836,0.000166,0.007109,0.006449,0.002182
0.205613,12.707000,0.000000,-0.000000,0.000000,0.000000,0.001573,0.001427,0.000021,0.007109,0.006449,0.002182
0.306657,12.712000,0.000000,-0.000000,0.000000,0.000000,0.002241,0.002033,0.000094,0.007109,0.006449,0.002182
0.410906,12.712000,0.000000,-0.000000,0.000000,0.000000,0.003151,0.002858,0.000101,0.007109,0.006449,0.002182
0.512605,12.712000,0.000000,-0.000000,0.000000,0.000000,0.003842,0.003486,0.000029,0.007109,0.006449,0.002182
0.613850,12.690000,0.000000,-0.000000,0.000000,0.000000,0.004571,0.004146,0.000105,0.007109,0.006449,0.002182
0.714831,12.690000,0.000000,-0.000000,0.000000,0.000000,0.005308,0.004815,0.000107,0.007109,0.006449,0.002182
0.815821,12.690000,0.000000,-0.000000,0.000000,0.000000,0.006012,0.005454,0.000027,0.007109,0.006449,0.002182
0.923928,12.686000,0.000000,-0.000000,0.000000,0.000000,0.006797,0.006166,0.000129,0.007109,0.006449,0.002182
1.025229,12.681000,0.000000,-0.000000,0.000000,0.000000,0.007469,0.006776,0.000027,0.007109,0.006449,0.002182
1.126986,12.707000,0.000000,-0.000000,0.000000,0.000000,0.007909,0.007174,0.000027,0.007109,0.006449,0.002182
1.229729,12.712000,0.000000,-0.000000,0.000000,0.000000,0.008848,0.008027,0.000023,0.007109,0.006449,0.002182
1.330848,12.712000,0.000000,-0.000000,0.000000,0.000000,0.009511,0.008627,0.000093,0.007109,0.006449,0.002182
1.431832,12.707000,0.000000,-0.000000,0.000000,0.000000,0.010386,0.009422,0.000082,0.007109,0.006449,0.002182
1.532746,12.707000,0.000000,-0.000000,0.000000,0.000000,0.011052,0.010025,0.000026,0.007109,0.006449,0.002182
