time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.103722,12.572000,0.000000,-0.000000,0.000000,0.000000,-0.000324,-0.000294,-0.000086,-0.003555,-0.003224,-0.001091
0.204723,12.594000,0.000000,-0.000000,0.000000,0.000000,-0.001016,-0.000922,-0.000087,-0.003555,-0.003224,-0.001091
0.305811,12.594000,0.000000,-0.000000,0.000000,0.000000,-0.001370,-0.001243,-0.000125,-0.003555,-0.003224,-0.001091
0.407084,12.598000,0.000000,-0.000000,0.000000,0.000000,-0.001708,-0.001549,-0.000089,-0.003555,-0.003224,-0.001091
0.508322,12.598000,0.000000,-0.000000,0.000000,0.000000,-0.002100,-0.001905,-0.000100,-0.003555,-0.003224,-0.001091
0.609898,12.598000,0.000000,-0.000000,0.000000,0.000000,-0.002455,-0.002227,-0.000126,-0.003555,-0.003224,-0.001091
0.710954,12.572000,0.000000,-0.000000,0.000000,0.000000,-0.002864,-0.002598,-0.000089,-0.003555,-0.003224,-0.001091
0.811871,12.576000,0.000000,-0.000000,0.000000,0.000000,-0.003206,-0.002908,-0.000124,-0.003555,-0.003224,-0.001091
0.914434,12.576000,0.000000,-0.000000,0.000000,0.000000,-0.003580,-0.003247,-0.000131,-0.003555,-0.003224,-0.001091
1.015373,12.572000,0.000000,-0.000000,0.000000,0.000000,-0.003945,-0.003578,-0.000089,-0.003555,-0.003224,-0.001091
1.117354,12.598000,0.000000,-0.000000,0.000000,0.000000,-0.004292,-0.003893,-0.000126,-0.003555,-0.003224,-0.001091
1.219268,12.589000,0.000000,-0.000000,0.000000,0.000000,-0.004405,-0.003995,-0.000088,-0.003555,-0.003224,-0.001091
1.320405,12.598000,0.000000,-0.000000,0.000000,0.000000,-0.004991,-0.004527,-0.000123,-0.003555,-0.003224,-0.001091
1.421604,12.594000,0.000000,-0.000000,0.000000,0.000000,-0.005335,-0.004839,-0.000091,-0.003555,-0.003224,-0.001091
1.522457,12.598000,0.000000,-0.000000,0.000000,0.000000,-0.005680,-0.005152,-0.000125,-0.003555,-0.003224,-0.001091
1.634243,12.576000,0.000000,-0.000000,0.000000,0.000000,-0.006112,-0.005543,-0.000120,-0.003555,-0.003224,-0.001091
1.735298,12.572000,0.000000,-0.000000,0.000000,0.000000,-0.006332,-0.005743,-0.000121,-0.003555,-0.003224,-0.001091
1.836955,12.533000,-0.224395,0.224395,0.224395,-0.224395,-0.006795,-0.006163,-0.000122,-0.003555,-0.003224,-0.001091
1.940696,11.379000,-0.500000,0.500000,0.500000,-0.500000,-0.020714,0.103731,-0.003518,-0.077937,1.737331,-0.001091
2.047119,11.720000,-0.500000,0.500000,0.500000,-0.500000,-0.114424,0.408003,0.010465,-1.431703,3.760542,-0.001091
2.150545,11.724000,-0.500000,0.500000,0.500000,-0.500000,-0.229104,1.065137,0.060327,-0.479604,8.610295,-0.001091
2.251559,11.785000,-0.496835,0.496835,0.503165,-0.503165,-0.310713,1.849038,0.111658,0.189841,12.567457,-0.001091
2.361307,11.829000,-0.366555,0.366555,0.633445,-0.633445,-0.445409,3.398165,0.118407,0.457618,16.554371,-0.001091
2.462970,11.886000,0.000000,0.000000,1.000000,-1.000000,-0.650804,5.908168,0.117781,0.546878,20.258631,-0.001091
2.565119,11.641000,0.000000,0.000000,1.000000,-1.000000,-0.666465,7.965049,0.046202,2.733730,22.772767,-0.001091
2.665970,11.759000,0.000000,0.000000,1.000000,-1.000000,0.043368,10.588330,-0.064305,7.315706,28.113447,-0.001091
2.766780,11.829000,0.000000,0.000000,1.000000,-1.000000,1.418491,13.139795,-0.441624,4.221384,28.485361,-0.001091
