time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.001492,13.289000,1.000000,-1.000000,-1.000000,1.000000,0.000000,0.000443,-0.000004,-0.000000,0.000000,0.000000
0.028754,13.289000,1.000000,-1.000000,-1.000000,1.000000,0.000000,0.000443,-0.000004,0.000000,0.000000,0.000000
0.055388,8.665000,1.000000,-1.000000,-1.000000,1.000000,0.000000,0.000443,-0.000004,0.000000,0.000000,0.000000
0.082128,8.871000,1.000000,-1.000000,-1.000000,1.000000,-0.004076,-0.791851,-0.000004,-0.040730,-7.922940,-0.255266
0.108630,9.522000,1.000000,-1.000000,-1.000000,1.000000,-0.004076,-0.791851,-0.000004,-0.040730,-7.922940,-0.255266
0.135271,9.871000,1.000000,-1.000000,-1.000000,1.000000,-0.004076,-0.791851,-0.000004,-0.040730,-7.922940,-0.255266
0.162059,9.544000,1.000000,-1.000000,-1.000000,1.000000,-0.004076,-0.791851,-0.000004,-0.040730,-7.922940,-0.255266
0.188876,9.967000,1.000000,-1.000000,-1.000000,1.000000,-0.004076,-0.791851,-0.000004,-0.040730,-7.922940,-0.255266
0.215807,9.967000,1.000000,-1.000000,-1.000000,1.000000,0.158402,-2.374496,-0.015363,1.624847,-15.826436,0.296447
0.242574,10.383000,1.000000,-1.000000,-1.000000,1.000000,0.158402,-2.374496,-0.015363,1.624847,-15.826436,0.296447
0.269347,10.496000,1.000000,-1.000000,-1.000000,1.000000,0.158402,-2.374496,-0.015363,1.624847,-15.826436,0.296447
0.296654,10.689000,1.000000,-1.000000,-1.000000,1.000000,0.158402,-2.374496,-0.015363,1.624847,-15.826436,0.296447
0.326730,10.689000,1.000000,-1.000000,-1.000000,1.000000,0.622288,-4.822269,0.034728,5.014348,-24.403580,0.732600
0.354496,10.780000,1.000000,-1.000000,-1.000000,1.000000,0.622288,-4.822269,0.034728,5.014348,-24.403580,0.732600
0.381687,10.964000,1.000000,-1.000000,-1.000000,1.000000,1.231920,-7.985937,0.070379,4.994189,-31.829280,0.522668
0.408586,10.702000,1.000000,-1.000000,-1.000000,1.000000,1.231920,-7.985937,0.070379,4.994189,-31.829280,0.522668
0.435434,10.702000,1.000000,-1.000000,-1.000000,1.000000,1.231920,-7.985937,0.070379,4.994189,-31.829280,0.522668
0.462245,10.846000,1.000000,-1.000000,-1.000000,1.000000,1.231920,-7.985937,0.070379,4.994189,-31.829280,0.522668
