time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.002630,13.179000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.000000,-0.000007,0.000000,0.000000,0.000000
0.029129,13.179000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.000000,-0.000007,0.000000,0.000000,0.000000
0.055612,9.024000,1.000000,-1.000000,1.000000,-1.000000,-0.000599,0.004676,-0.000007,-0.005994,0.046756,-0.001943
0.082312,9.076000,1.000000,-1.000000,1.000000,-1.000000,0.292893,-1.542363,-0.004410,2.935024,-15.470363,-2.463467
0.108571,10.007000,1.000000,-1.000000,1.000000,-1.000000,0.292893,-1.542363,-0.004410,2.935024,-15.470363,-2.463467
0.135071,10.007000,1.000000,-1.000000,1.000000,-1.000000,0.292893,-1.542363,-0.004410,2.935024,-15.470363,-2.463467
0.161523,10.488000,1.000000,-1.000000,1.000000,-1.000000,0.292893,-1.542363,-0.004410,2.935024,-15.470363,-2.463467
0.187943,10.959000,1.000000,-1.000000,1.000000,-1.000000,0.292893,-1.542363,-0.004410,2.935024,-15.470363,-2.463467
0.214383,11.108000,1.000000,-1.000000,1.000000,-1.000000,0.292893,-1.542363,-0.004410,2.935024,-15.470363,-2.463467
0.240692,11.108000,1.000000,-1.000000,1.000000,-1.000000,0.528363,-4.647064,-0.344549,2.491603,-31.036332,-5.188074
0.267024,11.401000,1.000000,-1.000000,1.000000,-1.000000,0.528363,-4.647064,-0.344549,2.491603,-31.036332,-5.188074
0.293203,11.576000,1.000000,-1.000000,1.000000,-1.000000,0.528363,-4.647064,-0.344549,2.491603,-31.036332,-5.188074
0.319542,11.576000,1.000000,-1.000000,1.000000,-1.000000,0.528363,-4.647064,-0.344549,2.491603,-31.036332,-5.188074
0.345872,11.764000,1.000000,-1.000000,1.000000,-1.000000,-0.399107,-8.196370,-1.003165,3.258944,-36.539792,-5.924804
0.372223,11.733000,1.000000,-1.000000,1.000000,-1.000000,-0.399107,-8.196370,-1.003165,3.258944,-36.539792,-5.924804
0.398629,11.847000,1.000000,-1.000000,1.000000,-1.000000,-0.399107,-8.196370,-1.003165,3.258944,-36.539792,-5.924804
0.425136,11.847000,1.000000,-1.000000,1.000000,-1.000000,-0.399107,-8.196370,-1.003165,3.258944,-36.539792,-5.924804
0.451845,11.873000,1.000000,-1.000000,1.000000,-1.000000,-3.594186,-10.313571,-1.695251,0.673828,-38.323003,-6.216594
0.478342,11.873000,1.000000,-1.000000,1.000000,-1.000000,-3.594186,-10.313571,-1.695251,0.673828,-38.323003,-6.216594
0.504804,11.916000,1.000000,-1.000000,1.000000,-1.000000,-8.005426,-9.837890,-2.085660,0.755798,-44.361694,-6.593510
0.531343,11.908000,1.000000,-1.000000,1.000000,-1.000000,-8.005426,-9.837890,-2.085660,0.755798,-44.361694,-6.593510
0.557872,11.873000,1.000000,-1.000000,1.000000,-1.000000,-8.005426,-9.837890,-2.085660,0.755798,-44.361694,-6.593510
0.584595,11.873000,1.000000,-1.000000,1.000000,-1.000000,-8.005426,-9.837890,-2.085660,0.755798,-44.361694,-6.593510
0.611074,11.890000,1.000000,-1.000000,1.000000,-1.000000,-8.005426,-9.837890,-2.085660,0.755798,-44.361694,-6.593510
0.637619,11.934000,1.000000,-1.000000,1.000000,-1.000000,-11.611475,-8.195108,-2.878428,3.458655,-39.474928,-6.727503
0.664227,11.908000,1.000000,-1.000000,1.000000,-1.000000,-11.611475,-8.195108,-2.878428,3.458655,-39.474928,-6.727503
0.690743,11.938000,1.000000,-1.000000,1.000000,-1.000000,-11.611475,-8.195108,-2.878428,3.458655,-39.474928,-6.727503
0.717475,11.938000,1.000000,-1.000000,1.000000,-1.000000,-12.960217,-4.254489,3.004950,2.772022,-41.558082,-6.153805
0.744030,11.895000,1.000000,-1.000000,1.000000,-1.000000,-12.960217,-4.254489,3.004950,2.772022,-41.558082,-6.153805
0.770373,11.912000,1.000000,-1.000000,1.000000,-1.000000,-12.960217,-4.254489,3.004950,2.772022,-41.558082,-6.153805
0.796631,11.956000,1.000000,-1.000000,1.000000,-1.000000,-12.960217,-4.254489,3.004950,2.772022,-41.558082,-6.153805
0.822730,11.956000,1.000000,-1.000000,1.000000,-1.000000,-12.588189,-0.481476,2.199520,1.453936,-37.885208,-6.322624
0.848931,11.912000,1.000000,-1.000000,1.000000,-1.000000,-12.588189,-0.481476,2.199520,1.453936,-37.885208,-6.322624
0.875121,11.982000,1.000000,-1.000000,1.000000,-1.000000,-12.588189,-0.481476,2.199520,1.453936,-37.885208,-6.322624
0.901398,11.982000,1.000000,-1.000000,1.000000,-1.000000,-12.588189,-0.481476,2.199520,1.453936,-37.885208,-6.322624
0.927546,11.899000,1.000000,-1.000000,1.000000,-1.000000,-9.459367,1.993724,1.390796,1.617894,-39.862220,-6.387925
0.953840,11.965000,1.000000,-1.000000,1.000000,-1.000000,-9.459367,1.993724,1.390796,1.617894,-39.862220,-6.387925
0.980180,11.930000,1.000000,-1.000000,1.000000,-1.000000,-9.459367,1.993724,1.390796,1.617894,-39.862220,-6.387925
1.006808,11.877000,1.000000,-1.000000,1.000000,-1.000000,-9.459367,1.993724,1.390796,1.617894,-39.862220,-6.387925
